domain,task,policy,episodes,mean_utility,cvar_5_utility,failure_probability,mean_cost,mean_steps,mean_successes,score
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-det-r45-v0,nominal_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-det-r45-v0,hazard_averse_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-det-r45-v0,short_path_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-det-r65-v0,nominal_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-det-r65-v0,hazard_averse_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-det-r65-v0,short_path_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-slip-r45-v0,nominal_value_iteration,100,69.506,-45.0,0.19,0.19,48.44,0.81,47.006
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-slip-r45-v0,hazard_averse_value_iteration,100,69.506,-45.0,0.19,0.19,48.44,0.81,47.006
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-slip-r45-v0,short_path_value_iteration,100,63.059,-44.74,0.24,0.24,45.41,0.76,40.68899999999999
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-slip-r65-v0,nominal_value_iteration,100,57.308,-41.78,0.3,0.3,21.92,0.7,36.418
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-slip-r65-v0,hazard_averse_value_iteration,100,33.01,-45.0,0.45,0.45,62.4,0.55,10.509999999999998
gymnasium_frozenlake,ExternalFrozenLake-calibration-m4-slip-r65-v0,short_path_value_iteration,100,39.026,-38.1,0.44,0.44,15.74,0.56,19.976000000000003
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-det-r45-v0,nominal_value_iteration,100,98.6,98.6,0.0,0.0,14,1,147.89999999999998
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-det-r45-v0,hazard_averse_value_iteration,100,98.6,98.6,0.0,0.0,14,1,147.89999999999998
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-det-r45-v0,short_path_value_iteration,100,98.6,98.6,0.0,0.0,14,1,147.89999999999998
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-det-r65-v0,nominal_value_iteration,100,98.6,98.6,0.0,0.0,14,1,147.89999999999998
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-det-r65-v0,hazard_averse_value_iteration,100,98.6,98.6,0.0,0.0,14,1,147.89999999999998
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-det-r65-v0,short_path_value_iteration,100,98.6,98.6,0.0,0.0,14,1,147.89999999999998
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-slip-r45-v0,nominal_value_iteration,100,82.944,-44.06,0.08,0.08,62.56,0.92,60.914
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-slip-r45-v0,hazard_averse_value_iteration,100,85.531,-48.36,0.05,0.05,77.19,0.95,61.351000000000006
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-slip-r45-v0,short_path_value_iteration,100,63.544,-45.32,0.23,0.23,54.06,0.77,40.884
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-slip-r65-v0,nominal_value_iteration,100,89.021,-37.38,0.05,0.05,42.29,0.95,70.331
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-slip-r65-v0,hazard_averse_value_iteration,100,90.339,-12.16,0.04,0.04,42.61,0.96,84.259
gymnasium_frozenlake,ExternalFrozenLake-calibration-m8-slip-r65-v0,short_path_value_iteration,100,44.962,-38.62,0.39,0.39,23.88,0.61,25.652000000000005
