domain,task,policy,episodes,mean_utility,cvar_5_utility,failure_probability,mean_cost,mean_steps,mean_successes,score
gymnasium_frozenlake,ExternalFrozenLake-development-m4-det-r40-v0,nominal_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-development-m4-det-r40-v0,hazard_averse_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-development-m4-det-r40-v0,short_path_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-development-m4-det-r60-v0,nominal_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-development-m4-det-r60-v0,hazard_averse_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-development-m4-det-r60-v0,short_path_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-development-m4-det-r80-v0,nominal_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-development-m4-det-r80-v0,hazard_averse_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-development-m4-det-r80-v0,short_path_value_iteration,100,99.4,99.4,0.0,0.0,6,1,149.10000000000002
gymnasium_frozenlake,ExternalFrozenLake-development-m4-slip-r40-v0,nominal_value_iteration,100,57.005,-45.0,0.28,0.28,51.95,0.72,34.505
gymnasium_frozenlake,ExternalFrozenLake-development-m4-slip-r40-v0,hazard_averse_value_iteration,100,57.005,-45.0,0.28,0.28,51.95,0.72,34.505
gymnasium_frozenlake,ExternalFrozenLake-development-m4-slip-r40-v0,short_path_value_iteration,100,58.547,-45.0,0.27,0.27,50.03,0.73,36.047
gymnasium_frozenlake,ExternalFrozenLake-development-m4-slip-r60-v0,nominal_value_iteration,100,55.677,-45.0,0.3,0.3,38.23,0.7,33.177
gymnasium_frozenlake,ExternalFrozenLake-development-m4-slip-r60-v0,hazard_averse_value_iteration,100,64.738,-45.0,0.22,0.22,55.62,0.78,42.238
gymnasium_frozenlake,ExternalFrozenLake-development-m4-slip-r60-v0,short_path_value_iteration,100,47.187,-37.88,0.38,0.38,15.13,0.62,28.246999999999996
gymnasium_frozenlake,ExternalFrozenLake-development-m4-slip-r80-v0,nominal_value_iteration,100,77.865,-37.019999999999996,0.15,0.15,18.85,0.85,59.355
gymnasium_frozenlake,ExternalFrozenLake-development-m4-slip-r80-v0,hazard_averse_value_iteration,100,79.021,-37.1,0.14,0.14,20.79,0.86,60.471000000000004
gymnasium_frozenlake,ExternalFrozenLake-development-m4-slip-r80-v0,short_path_value_iteration,100,62.924,-35.64,0.27,0.27,6.26,0.73,45.104
gymnasium_frozenlake,ExternalFrozenLake-development-m8-det-r40-v0,nominal_value_iteration,100,98.6,98.6,0.0,0.0,14,1,147.89999999999998
gymnasium_frozenlake,ExternalFrozenLake-development-m8-det-r40-v0,hazard_averse_value_iteration,100,98.6,98.6,0.0,0.0,14,1,147.89999999999998
gymnasium_frozenlake,ExternalFrozenLake-development-m8-det-r40-v0,short_path_value_iteration,100,98.6,98.6,0.0,0.0,14,1,147.89999999999998
