domain,task,policy,episodes,mean_utility,cvar_5_utility,failure_probability,mean_cost,mean_steps,mean_successes,score
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,100,426.2955,312.0,0.24,0.24,35.72,0,582.2955
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,dynamic_reserve,100,501.1905,391.34,0.02,0.02,39.92,0,696.8605
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_2_0,100,446.5565,262.59000000000003,0.0,0.0,40,0,577.8515
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-bulky-s21001-v0,ratio_threshold_1_25,100,417.3815,310.8,0.1,0.1,37.4,0,572.7815
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-bulky-s21001-v0,dynamic_reserve,100,472.8725,396.8,0.07,0.07,39.05,0,671.2725
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-bulky-s21001-v0,ratio_threshold_2_0,100,501.058,432.03,0.03,0.03,39.61,0,717.073
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-volatile-s21002-v0,ratio_threshold_1_25,100,671.581,442.0,0.35,0.35,34.15,0,892.581
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-volatile-s21002-v0,dynamic_reserve,100,750.3725000000001,535.6,0.31,0.31,35.8,0,1018.1725000000001
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-volatile-s21002-v0,ratio_threshold_2_0,100,777.0895,575.76,0.24,0.24,36.41,0,1064.9695000000002
or_gym_online_knapsack,ExternalKnapsack-calibration-c360-h40-balanced-s21003-v0,ratio_threshold_1_25,100,636.24,524.8,0.24,0.24,37.13,0,898.64
or_gym_online_knapsack,ExternalKnapsack-calibration-c360-h40-balanced-s21003-v0,dynamic_reserve,100,587.4445000000001,446.59000000000003,0.0,0.0,40,0,810.7395000000001
or_gym_online_knapsack,ExternalKnapsack-calibration-c360-h40-balanced-s21003-v0,ratio_threshold_2_0,100,387.3095,171.22,0.0,0.0,40,0,472.9195
or_gym_online_knapsack,ExternalKnapsack-calibration-c360-h40-bulky-s21004-v0,ratio_threshold_1_25,100,620.8795,529.38,0.07,0.07,38.05,0,885.5695000000001
or_gym_online_knapsack,ExternalKnapsack-calibration-c360-h40-bulky-s21004-v0,dynamic_reserve,100,709.8545,576.34,0.06,0.06,39.58,0,998.0245
or_gym_online_knapsack,ExternalKnapsack-calibration-c360-h40-bulky-s21004-v0,ratio_threshold_2_0,100,713.0735,364.83,0.02,0.02,39.89,0,895.4884999999999
or_gym_online_knapsack,ExternalKnapsack-calibration-c360-h40-volatile-s21005-v0,ratio_threshold_1_25,100,990.557,748.18,0.25,0.25,37.38,0,1364.647
or_gym_online_knapsack,ExternalKnapsack-calibration-c360-h40-volatile-s21005-v0,dynamic_reserve,100,1112.936,851.41,0.11,0.11,39,0,1538.6409999999998
or_gym_online_knapsack,ExternalKnapsack-calibration-c360-h40-volatile-s21005-v0,ratio_threshold_2_0,100,1138.1495,787.15,0.14,0.14,38.96,0,1531.7245
