domain,task,policy,episode,seed,utility,raw_return,cost,failure,steps,successes,resource_residual
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,0,12000000,339.0,439.0,1.0,True,22,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,1,12000001,382.0,482.0,1.0,True,24,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,2,12000002,503.95,504.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,3,12000003,416.9,417.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,4,12000004,347.0,447.0,1.0,True,21,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,5,12000005,433.9,434.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,6,12000006,474.7,475.0,0.0,False,40,0,6.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,7,12000007,459.8,460.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,8,12000008,465.8,466.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,9,12000009,471.85,472.0,0.0,False,40,0,3.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,10,12000010,463.6,464.0,0.0,False,40,0,8.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,11,12000011,352.0,452.0,1.0,True,20,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,12,12000012,412.95,413.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,13,12000013,354.0,454.0,1.0,True,13,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,14,12000014,461.8,462.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,15,12000015,416.95,417.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,16,12000016,474.75,475.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,17,12000017,464.9,465.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,18,12000018,463.85,464.0,0.0,False,40,0,3.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,19,12000019,459.9,460.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,20,12000020,375.8,376.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,21,12000021,436.95,437.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,22,12000022,353.0,453.0,1.0,True,16,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,23,12000023,446.9,447.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,24,12000024,453.7,454.0,0.0,False,40,0,6.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,25,12000025,377.0,477.0,1.0,True,38,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,26,12000026,473.75,474.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,27,12000027,393.0,493.0,1.0,True,17,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,28,12000028,334.0,434.0,1.0,True,22,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,29,12000029,451.95,452.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,30,12000030,464.9,465.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,31,12000031,434.95,435.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,32,12000032,486.75,487.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,33,12000033,420.8,421.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,34,12000034,413.75,414.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,35,12000035,492.95,493.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,36,12000036,405.85,406.0,0.0,False,40,0,3.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,37,12000037,481.95,482.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,38,12000038,419.0,519.0,1.0,True,21,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,39,12000039,483.95,484.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,40,12000040,469.9,470.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,41,12000041,438.75,439.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,42,12000042,447.8,448.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,43,12000043,370.0,470.0,1.0,True,19,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,44,12000044,419.9,420.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,45,12000045,313.0,413.0,1.0,True,24,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,46,12000046,442.75,443.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,47,12000047,429.9,430.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,48,12000048,477.95,478.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,49,12000049,470.75,471.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,50,12000050,415.8,416.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,51,12000051,412.9,413.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,52,12000052,398.75,399.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,53,12000053,456.9,457.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,54,12000054,432.75,433.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,55,12000055,467.9,468.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,56,12000056,408.7,409.0,0.0,False,40,0,6.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,57,12000057,445.8,446.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,58,12000058,430.8,431.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,59,12000059,309.0,409.0,1.0,True,15,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,60,12000060,427.8,428.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,61,12000061,415.8,416.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,62,12000062,429.75,430.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,63,12000063,469.95,470.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,64,12000064,419.75,420.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,65,12000065,427.95,428.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,66,12000066,526.8,527.0,0.0,False,40,0,4.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,67,12000067,435.95,436.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,68,12000068,311.0,411.0,1.0,True,17,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,69,12000069,440.9,441.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,70,12000070,469.7,470.0,0.0,False,40,0,6.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,71,12000071,325.0,425.0,1.0,True,19,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,72,12000072,481.9,482.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,73,12000073,467.95,468.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,74,12000074,425.75,426.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,75,12000075,425.9,426.0,0.0,False,40,0,2.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,76,12000076,330.0,430.0,1.0,True,15,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,77,12000077,447.95,448.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,78,12000078,446.0,546.0,1.0,True,29,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,79,12000079,433.95,434.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,80,12000080,302.0,402.0,1.0,True,28,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,81,12000081,378.0,478.0,1.0,True,37,0,0.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,82,12000082,471.95,472.0,0.0,False,40,0,1.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,83,12000083,451.75,452.0,0.0,False,40,0,5.0
or_gym_online_knapsack,ExternalKnapsack-calibration-c240-h40-balanced-s21000-v0,ratio_threshold_1_25,84,12000084,366.0,466.0,1.0,True,36,0,0.0
