domain,task,policy,episodes,mean_utility,cvar_5_utility,failure_probability,mean_cost,mean_steps,mean_successes,score
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,100,307.218,221.8,0.28,0.28,26.24,0,418.11800000000005
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,dynamic_reserve,100,360.3305,277.72,0.04,0.04,29.87,0,499.1905
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_2_0,100,335.4885,169.2,0.02,0.02,29.92,0,420.08849999999995
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-bulky-s11001-v0,ratio_threshold_1_25,100,312.0625,229.43,0.05,0.05,29.3,0,426.77750000000003
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-bulky-s11001-v0,dynamic_reserve,100,339.4775,274.6,0.11,0.11,28.7,0,476.77750000000003
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-bulky-s11001-v0,ratio_threshold_2_0,100,364.1845,291.59,0.07,0.07,28.74,0,509.97950000000003
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-volatile-s11002-v0,ratio_threshold_1_25,100,500.544,329.18,0.27,0.27,27.09,0,665.134
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-volatile-s11002-v0,dynamic_reserve,100,582.7455,421.82,0.15,0.15,28.57,0,793.6555
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-volatile-s11002-v0,ratio_threshold_2_0,100,614.1375,426.46,0.11,0.11,28.82,0,827.3675000000001
or_gym_online_knapsack,ExternalKnapsack-development-c180-h50-balanced-s11003-v0,ratio_threshold_1_25,100,317.988,203.2,0.28,0.28,41.95,0,419.58799999999997
or_gym_online_knapsack,ExternalKnapsack-development-c180-h50-balanced-s11003-v0,dynamic_reserve,100,395.4525,298.8,0.1,0.1,48.71,0,544.8525
or_gym_online_knapsack,ExternalKnapsack-development-c180-h50-balanced-s11003-v0,ratio_threshold_2_0,100,398.8195,307.2,0.14,0.14,48.26,0,552.4195
or_gym_online_knapsack,ExternalKnapsack-development-c180-h50-bulky-s11004-v0,ratio_threshold_1_25,100,310.441,227.99,0.07,0.07,47.41,0,424.436
or_gym_online_knapsack,ExternalKnapsack-development-c180-h50-bulky-s11004-v0,dynamic_reserve,100,348.2415,274.6,0.09,0.09,47.89,0,485.5415
or_gym_online_knapsack,ExternalKnapsack-development-c180-h50-bulky-s11004-v0,ratio_threshold_2_0,100,373.483,306.59,0.03,0.03,49,0,526.778
or_gym_online_knapsack,ExternalKnapsack-development-c180-h50-volatile-s11005-v0,ratio_threshold_1_25,100,475.7665,319.39,0.29,0.29,41.74,0,635.4615
or_gym_online_knapsack,ExternalKnapsack-development-c180-h50-volatile-s11005-v0,dynamic_reserve,100,540.5595,376.79,0.37,0.37,40.96,0,728.9544999999999
or_gym_online_knapsack,ExternalKnapsack-development-c180-h50-volatile-s11005-v0,ratio_threshold_2_0,100,550.3265,374.0,0.34,0.34,41.12,0,737.3265
or_gym_online_knapsack,ExternalKnapsack-development-c300-h30-balanced-s11006-v0,ratio_threshold_1_25,100,525.3785,439.2,0.12,0.12,29.25,0,744.9785
or_gym_online_knapsack,ExternalKnapsack-development-c300-h30-balanced-s11006-v0,dynamic_reserve,100,459.3255,363.62,0.0,0.0,30,0,641.1355
or_gym_online_knapsack,ExternalKnapsack-development-c300-h30-balanced-s11006-v0,ratio_threshold_2_0,100,269.179,114.11,0.0,0.0,30,0,326.234
or_gym_online_knapsack,ExternalKnapsack-development-c300-h30-bulky-s11007-v0,ratio_threshold_1_25,100,538.486,441.0,0.16,0.16,27.77,0,758.986
or_gym_online_knapsack,ExternalKnapsack-development-c300-h30-bulky-s11007-v0,dynamic_reserve,100,602.4055,506.2,0.04,0.04,29.8,0,855.5055
or_gym_online_knapsack,ExternalKnapsack-development-c300-h30-bulky-s11007-v0,ratio_threshold_2_0,100,619.4335,489.22999999999996,0.09,0.09,29.01,0,864.0485
or_gym_online_knapsack,ExternalKnapsack-development-c300-h30-volatile-s11008-v0,ratio_threshold_1_25,100,870.1425,647.3,0.22,0.22,28.19,0,1193.7925
or_gym_online_knapsack,ExternalKnapsack-development-c300-h30-volatile-s11008-v0,dynamic_reserve,100,960.2325,758.93,0.17,0.17,29.08,0,1339.6975
