domain,task,policy,episode,seed,utility,raw_return,cost,failure,steps,successes,resource_residual
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,0,2000000,334.6,335.0,0.0,False,30,0,8.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,1,2000001,254.0,354.0,1.0,True,13,0,0.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,2,2000002,326.9,327.0,0.0,False,30,0,2.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,3,2000003,333.55,334.0,0.0,False,30,0,9.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,4,2000004,243.0,343.0,1.0,True,12,0,0.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,5,2000005,246.0,346.0,1.0,True,15,0,0.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,6,2000006,362.55,363.0,0.0,False,30,0,9.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,7,2000007,331.65,332.0,0.0,False,30,0,7.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,8,2000008,232.0,332.0,1.0,True,25,0,0.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,9,2000009,287.0,387.0,1.0,True,17,0,0.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,10,2000010,242.0,342.0,1.0,True,18,0,0.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,11,2000011,324.85,325.0,0.0,False,30,0,3.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,12,2000012,324.85,325.0,0.0,False,30,0,3.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,13,2000013,282.8,283.0,0.0,False,30,0,4.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,14,2000014,303.75,304.0,0.0,False,30,0,5.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,15,2000015,348.95,349.0,0.0,False,30,0,1.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,16,2000016,363.9,364.0,0.0,False,30,0,2.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,17,2000017,356.75,357.0,0.0,False,30,0,5.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,18,2000018,306.65,307.0,0.0,False,30,0,7.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,19,2000019,272.0,372.0,1.0,True,18,0,0.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,20,2000020,311.6,312.0,0.0,False,30,0,8.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,21,2000021,228.0,328.0,1.0,True,14,0,0.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,22,2000022,332.95,333.0,0.0,False,30,0,1.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,23,2000023,230.0,330.0,1.0,True,13,0,0.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,24,2000024,330.95,331.0,0.0,False,30,0,1.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,25,2000025,362.95,363.0,0.0,False,30,0,1.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,26,2000026,306.85,307.0,0.0,False,30,0,3.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,27,2000027,309.6,310.0,0.0,False,30,0,8.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,28,2000028,211.0,311.0,1.0,True,25,0,0.0
or_gym_online_knapsack,ExternalKnapsack-development-c180-h30-balanced-s11000-v0,ratio_threshold_1_25,29,2000029,252.0,352.0,1.0,True,14,0,0.0
