domain,task,policy,episodes,mean_utility,cvar_5_utility,failure_probability,mean_cost,mean_steps,mean_successes,score
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l0-cw1p0-s51000-v0,goal_greedy,20,0.4064219981075278,-2.2883527367077887,0.75,0.0,500,0.25,-0.7377543702463665
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l0-cw1p0-s51000-v0,hazard_aware_moderate,20,0.4064219981075278,-2.2883527367077887,0.75,0.0,500,0.25,-0.7377543702463665
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l0-cw1p0-s51000-v0,hazard_aware_strict,20,0.4064219981075278,-2.2883527367077887,0.75,0.0,500,0.25,-0.7377543702463665
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l0-cw3p0-s61000-v0,goal_greedy,20,0.38467212868515993,-2.2996324716714533,0.75,0.0,500,0.25,-0.7651441071505667
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l0-cw3p0-s61000-v0,hazard_aware_moderate,20,0.38467212868515993,-2.2996324716714533,0.75,0.0,500,0.25,-0.7651441071505667
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l0-cw3p0-s61000-v0,hazard_aware_strict,20,0.38467212868515993,-2.2996324716714533,0.75,0.0,500,0.25,-0.7651441071505667
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l1-cw1p0-s71000-v0,goal_greedy,20,-52.24421992887706,-117.61672449253568,0.7,54.1,500,0.35,-111.05258217514489
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l1-cw1p0-s71000-v0,hazard_aware_moderate,20,-24.138528285548155,-96.48506414249978,0.5,23.4,500,0.6,-72.38106035679805
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l1-cw1p0-s71000-v0,hazard_aware_strict,20,-19.323889210773398,-84.42793105205526,0.55,16.25,500,0.6,-61.53785473680102
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l1-cw3p0-s81000-v0,goal_greedy,20,-117.55061480539699,-280.97871091661943,0.95,38.9,500,0.05,-258.0399702637067
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l1-cw3p0-s81000-v0,hazard_aware_moderate,20,-93.53210872561029,-410.0467952452551,0.85,30.3,500,0.15,-298.5555063482378
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l1-cw3p0-s81000-v0,hazard_aware_strict,20,-80.72244726274805,-410.0364997389665,0.8,26.1,500,0.25,-285.7406971322313
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l2-cw1p0-s91000-v0,goal_greedy,20,-76.63650750478057,-186.46587735439041,0.7,74.65,500,0.35,-169.86944618197577
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l2-cw1p0-s91000-v0,hazard_aware_moderate,20,-40.80757843831907,-175.09088242820778,0.7,36.7,500,0.4,-128.35301965242297
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l2-cw1p0-s91000-v0,hazard_aware_strict,20,-38.47940822446198,-129.6566156996679,0.65,33.45,500,0.35,-103.30771607429593
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l2-cw3p0-s101000-v0,goal_greedy,20,-324.08123904096675,-636.5173207602775,0.85,108.55,500,0.3,-642.3398994211054
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l2-cw3p0-s101000-v0,hazard_aware_moderate,20,-136.4795906627775,-491.1451678212849,0.7,44.45,500,0.4,-382.05217457341996
safety_gymnasium_point_goal,ExternalPointGoal-calibration-l2-cw3p0-s101000-v0,hazard_aware_strict,20,-106.60233298035311,-403.382755090986,0.75,33.9,500,0.3,-308.2937105258461
