domain,task,policy,episodes,mean_utility,cvar_5_utility,failure_probability,mean_cost,mean_steps,mean_successes,score
safety_gymnasium_point_goal,ExternalPointGoal-development-l0-cw0p5-s41000-v0,goal_greedy,20,0.31273965813153276,-2.324151968054013,0.75,0.0,500,0.25,-0.8493363258954738
safety_gymnasium_point_goal,ExternalPointGoal-development-l0-cw0p5-s41000-v0,hazard_aware_moderate,20,0.31273965813153276,-2.324151968054013,0.75,0.0,500,0.25,-0.8493363258954738
safety_gymnasium_point_goal,ExternalPointGoal-development-l0-cw0p5-s41000-v0,hazard_aware_strict,20,0.31273965813153276,-2.324151968054013,0.75,0.0,500,0.25,-0.8493363258954738
safety_gymnasium_point_goal,ExternalPointGoal-development-l0-cw2p0-s51000-v0,goal_greedy,20,0.7002776886711553,-2.304953193479878,0.7,0.0,500,0.3,-0.4521989080687838
safety_gymnasium_point_goal,ExternalPointGoal-development-l0-cw2p0-s51000-v0,hazard_aware_moderate,20,0.7002776886711553,-2.304953193479878,0.7,0.0,500,0.3,-0.4521989080687838
safety_gymnasium_point_goal,ExternalPointGoal-development-l0-cw2p0-s51000-v0,hazard_aware_strict,20,0.7002776886711553,-2.304953193479878,0.7,0.0,500,0.3,-0.4521989080687838
safety_gymnasium_point_goal,ExternalPointGoal-development-l0-cw5p0-s61000-v0,goal_greedy,20,2.208577811075409,-2.051038200127161,0.55,0.0,500,0.45,1.1830587110118285
safety_gymnasium_point_goal,ExternalPointGoal-development-l0-cw5p0-s61000-v0,hazard_aware_moderate,20,2.208577811075409,-2.051038200127161,0.55,0.0,500,0.45,1.1830587110118285
safety_gymnasium_point_goal,ExternalPointGoal-development-l0-cw5p0-s61000-v0,hazard_aware_strict,20,2.208577811075409,-2.051038200127161,0.55,0.0,500,0.45,1.1830587110118285
safety_gymnasium_point_goal,ExternalPointGoal-development-l1-cw0p5-s71000-v0,goal_greedy,20,-24.116352168449428,-49.63181397349648,0.75,49.45,500,0.3,-48.93225915519767
safety_gymnasium_point_goal,ExternalPointGoal-development-l1-cw0p5-s71000-v0,hazard_aware_moderate,20,-10.742615074213608,-21.402640278268535,0.5,22.5,500,0.7,-21.443935213347878
safety_gymnasium_point_goal,ExternalPointGoal-development-l1-cw0p5-s71000-v0,hazard_aware_strict,20,-10.942355314442887,-28.66559810952996,0.55,19.35,500,0.65,-25.27515436920787
safety_gymnasium_point_goal,ExternalPointGoal-development-l1-cw2p0-s81000-v0,goal_greedy,20,-82.71128115176951,-186.53214831523525,0.75,41.7,500,0.3,-175.97735530938712
safety_gymnasium_point_goal,ExternalPointGoal-development-l1-cw2p0-s81000-v0,hazard_aware_moderate,20,-45.50848416180377,-121.78084657828151,0.75,22.75,500,0.5,-106.39890745094453
safety_gymnasium_point_goal,ExternalPointGoal-development-l1-cw2p0-s81000-v0,hazard_aware_strict,20,-45.21676143259471,-138.60329573000487,0.75,22.3,500,0.5,-114.51840929759715
safety_gymnasium_point_goal,ExternalPointGoal-development-l1-cw5p0-s91000-v0,goal_greedy,20,-184.27289857236946,-600.9887147150492,0.85,36.85,500,0.15,-484.7672559298941
safety_gymnasium_point_goal,ExternalPointGoal-development-l1-cw5p0-s91000-v0,hazard_aware_moderate,20,-69.52989125872236,-277.2125940288515,0.7,13.55,500,0.5,-208.13618827314812
safety_gymnasium_point_goal,ExternalPointGoal-development-l1-cw5p0-s91000-v0,hazard_aware_strict,20,-42.22962887570185,-122.00171594746806,0.7,7.45,500,0.3,-103.23048684943588
safety_gymnasium_point_goal,ExternalPointGoal-development-l2-cw0p5-s101000-v0,goal_greedy,20,-48.47168523387101,-127.65588509546146,0.85,98.1,500,0.2,-112.29962778160174
safety_gymnasium_point_goal,ExternalPointGoal-development-l2-cw0p5-s101000-v0,hazard_aware_moderate,20,-24.096658780277735,-77.78642233737665,0.75,39.05,500,0.3,-62.98986994896606
safety_gymnasium_point_goal,ExternalPointGoal-development-l2-cw0p5-s101000-v0,hazard_aware_strict,20,-20.30576953326144,-73.16964313193243,0.8,29.0,500,0.25,-56.890591099227656
safety_gymnasium_point_goal,ExternalPointGoal-development-l2-cw2p0-s111000-v0,goal_greedy,20,-154.24213970052674,-496.69135598288545,0.65,77.7,500,0.5,-402.58781769196946
safety_gymnasium_point_goal,ExternalPointGoal-development-l2-cw2p0-s111000-v0,hazard_aware_moderate,20,-118.3107828906836,-533.340455298174,0.75,57.05,500,0.4,-384.9810105397706
safety_gymnasium_point_goal,ExternalPointGoal-development-l2-cw2p0-s111000-v0,hazard_aware_strict,20,-98.61914431495667,-361.4335004742049,0.75,46.95,500,0.4,-279.33589455205913
safety_gymnasium_point_goal,ExternalPointGoal-development-l2-cw5p0-s121000-v0,goal_greedy,20,-444.2386477806929,-851.6842434578298,0.65,89.1,500,0.4,-870.0807695096078
safety_gymnasium_point_goal,ExternalPointGoal-development-l2-cw5p0-s121000-v0,hazard_aware_moderate,20,-238.36893862239484,-799.128639613137,0.6,46.9,500,0.5,-637.9332584289633
safety_gymnasium_point_goal,ExternalPointGoal-development-l2-cw5p0-s121000-v0,hazard_aware_strict,20,-193.90221561487274,-799.128639613137,0.65,37.65,500,0.4,-593.4665354214412
